Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Adama Diakhaby,Centre-Forward,22,Monaco,Ligue 1,Huddersfield,Premier League,2018-2019,5000000,10000000
PelÃ©,Defensive Midfield,26,Rio Ave FC,Liga NOS,Monaco,Ligue 1,2018-2019,4000000,10000000
Diego Falcinelli,Centre-Forward,27,Sassuolo,Serie A,Bologna,Serie A,2018-2019,3800000,10000000
Antonio Barreca,Left-Back,23,Torino,Serie A,Monaco,Ligue 1,2018-2019,3500000,10000000
Federico Di Francesco,Right Winger,24,Bologna,Serie A,Sassuolo,Serie A,2018-2019,3500000,10000000
Borja Iglesias,Centre-Forward,25,Celta de Vigo,LaLiga,Espanyol,LaLiga,2018-2019,1000000,10000000
Alphonso Davies,Left Winger,18,Vancouver, Canada,Bayern Munich ,1.Bundesliga,2018-2019,800000,10000000
Davide Santon,Left-Back,27,Inter,Serie A,AS Roma,Serie A,2018-2019,3000000,9500000
Patrik Schick,Centre-Forward,22,Sampdoria,Serie A,AS Roma,Serie A,2018-2019,20000000,9000000
GermÃ¡n Pezzella,Centre-Back,27,Real Betis,LaLiga,Fiorentina,Serie A,2018-2019,13000000,9000000
Ramiro Funes Mori,Centre-Back,27,Everton,Premier League,Villarreal CF,LaLiga,2018-2019,10000000,9000000
Pablo Maffeo,Right-Back,20,Man City,Premier League,VfB Stuttgart,1.Bundesliga,2018-2019,10000000,9000000
Riccardo Saponara,Attacking Midfield,26,FC Empoli,Serie A,Fiorentina,Serie A,2018-2019,9000000,9000000
Khouma Babacar,Centre-Forward,25,Fiorentina,Serie A,Sassuolo,Serie A,2018-2019,8000000,9000000
Lukasz Skorupski,Goalkeeper,27,AS Roma,Serie A,Bologna,Serie A,2018-2019,7000000,9000000
